"bruises","capcolor","class","capshape","capsurface","gillattachment","gillcolor","gillsize","gillspacing","habitat","odor","population","ringnumber","ringtype","sporeprintcolor","stalkcolorabovering","stalkcolorbelowring","stalkroot","stalkshape","stalksurfaceabovering","stalksurfacebelowring","veilcolor","veiltype"
"f","g","e","s","f","f","g","n","c","u","n","v","o","p","k","w","w","e","e","s","s","w","p"
"f","g","e","s","f","f","g","n","c","u","n","v","o","p","n","w","w","e","e","s","s","w","p"
"f","g","e","s","f","f","g","n","c","u","n","y","o","p","k","w","w","e","e","s","s","w","p"
"f","g","e","s","f","f","k","n","c","u","n","v","o","p","k","w","w","e","e","s","s","w","p"
"f","g","e","s","f","f","k","n","c","u","n","v","o","p","n","w","w","e","e","s","s","w","p"
"f","g","e","s","f","f","k","n","c","u","n","y","o","p","k","w","w","e","e","s","s","w","p"
"f","g","e","s","f","f","k","n","c","u","n","y","o","p","n","w","w","e","e","s","s","w","p"
"f","g","e","s","f","f","n","n","c","u","n","v","o","p","k","w","w","e","e","s","s","w","p"
"f","g","e","s","f","f","n","n","c","u","n","v","o","p","n","w","w","e","e","s","s","w","p"
"f","g","e","s","f","f","n","n","c","u","n","y","o","p","n","w","w","e","e","s","s","w","p"
"f","g","e","s","f","f","p","n","c","u","n","v","o","p","n","w","w","e","e","s","s","w","p"
"f","g","e","s","f","f","p","n","c","u","n","y","o","p","n","w","w","e","e","s","s","w","p"
"f","g","e","x","f","f","g","n","c","u","n","v","o","p","n","w","w","e","e","s","s","w","p"
"f","g","e","x","f","f","g","n","c","u","n","y","o","p","k","w","w","e","e","s","s","w","p"
"f","g","e","x","f","f","g","n","c","u","n","y","o","p","n","w","w","e","e","s","s","w","p"
"f","g","e","x","f","f","h","b","w","g","n","a","o","e","n","w","w","e","t","f","f","w","p"
"f","g","e","x","f","f","h","b","w","g","n","s","o","e","n","w","w","e","t","f","s","w","p"
"f","g","e","x","f","f","k","b","w","g","n","s","o","e","k","w","w","e","t","f","f","w","p"
"f","g","e","x","f","f","k","n","c","u","n","v","o","p","n","w","w","e","e","s","s","w","p"
"f","g","e","x","f","f","n","b","w","g","n","s","o","e","k","w","w","e","t","s","s","w","p"
"f","g","e","x","f","f","n","b","w","g","n","s","o","e","n","w","w","e","t","s","f","w","p"
"f","g","e","x","f","f","n","b","w","g","n","s","o","e","n","w","w","e","t","s","s","w","p"
"f","g","e","x","f","f","n","n","c","u","n","v","o","p","k","w","w","e","e","s","s","w","p"
"f","g","e","x","f","f","n","n","c","u","n","y","o","p","k","w","w","e","e","s","s","w","p"
"f","g","e","x","f","f","n","n","c","u","n","y","o","p","n","w","w","e","e","s","s","w","p"
"f","g","e","x","f","f","p","b","w","g","n","s","o","e","k","w","w","e","t","f","f","w","p"
"f","g","e","x","f","f","p","n","c","u","n","v","o","p","n","w","w","e","e","s","s","w","p"
"f","g","e","x","s","f","h","b","w","g","n","a","o","e","k","w","w","e","t","s","f","w","p"
"f","g","e","x","s","f","h","b","w","g","n","s","o","e","k","w","w","e","t","s","f","w","p"
"f","g","e","x","s","f","k","b","w","g","n","a","o","e","n","w","w","e","t","s","s","w","p"
"f","g","e","x","s","f","n","b","w","g","n","a","o","e","n","w","w","e","t","s","f","w","p"
"f","g","e","x","s","f","n","b","w","g","n","s","o","e","n","w","w","e","t","s","f","w","p"
"f","g","e","x","s","f","p","b","w","g","n","s","o","e","n","w","w","e","t","s","s","w","p"
"f","n","e","f","f","f","g","n","c","u","n","v","o","p","k","w","w","e","e","s","s","w","p"
"f","n","e","f","f","f","h","b","w","g","n","s","o","e","k","w","w","e","t","s","s","w","p"
"f","n","e","f","f","f","k","n","c","u","n","v","o","p","k","w","w","e","e","s","s","w","p"
"f","n","e","f","f","f","k","n","c","u","n","v","o","p","n","w","w","e","e","s","s","w","p"
"f","n","e","f","f","f","k","n","c","u","n","y","o","p","k","w","w","e","e","s","s","w","p"
"f","n","e","f","f","f","k","n","c","u","n","y","o","p","n","w","w","e","e","s","s","w","p"
"f","n","e","f","f","f","n","b","w","g","n","a","o","e","k","w","w","e","t","s","s","w","p"
"f","n","e","f","f","f","n","n","c","u","n","y","o","p","k","w","w","e","e","s","s","w","p"
"f","n","e","f","f","f","n","n","c","u","n","y","o","p","n","w","w","e","e","s","s","w","p"
"f","n","e","f","f","f","p","n","c","u","n","v","o","p","k","w","w","e","e","s","s","w","p"
"f","n","e","f","s","f","h","b","w","g","n","a","o","e","n","w","w","e","t","f","s","w","p"
"f","n","e","f","s","f","k","b","w","g","n","a","o","e","k","w","w","e","t","f","s","w","p"
"f","n","e","f","s","f","k","b","w","g","n","a","o","e","k","w","w","e","t","s","s","w","p"
"f","n","e","f","s","f","p","b","w","g","n","a","o","e","n","w","w","e","t","f","s","w","p"
"f","n","e","s","f","f","g","n","c","u","n","v","o","p","n","w","w","e","e","s","s","w","p"
"f","n","e","s","f","f","g","n","c","u","n","y","o","p","n","w","w","e","e","s","s","w","p"
"f","n","e","s","f","f","k","n","c","u","n","v","o","p","k","w","w","e","e","s","s","w","p"
"f","n","e","s","f","f","k","n","c","u","n","v","o","p","n","w","w","e","e","s","s","w","p"
"f","n","e","s","f","f","k","n","c","u","n","y","o","p","k","w","w","e","e","s","s","w","p"
"f","n","e","s","f","f","k","n","c","u","n","y","o","p","n","w","w","e","e","s","s","w","p"
"f","n","e","s","f","f","n","n","c","u","n","v","o","p","n","w","w","e","e","s","s","w","p"
"f","n","e","s","f","f","n","n","c","u","n","y","o","p","n","w","w","e","e","s","s","w","p"
"f","n","e","s","f","f","p","n","c","u","n","v","o","p","k","w","w","e","e","s","s","w","p"
"f","n","e","s","f","f","p","n","c","u","n","v","o","p","n","w","w","e","e","s","s","w","p"
"f","n","e","s","f","f","p","n","c","u","n","y","o","p","n","w","w","e","e","s","s","w","p"
"f","n","e","x","f","f","g","n","c","u","n","y","o","p","k","w","w","e","e","s","s","w","p"
"f","n","e","x","f","f","g","n","c","u","n","y","o","p","n","w","w","e","e","s","s","w","p"
"f","n","e","x","f","f","h","b","w","g","n","s","o","e","n","w","w","e","t","s","f","w","p"
"f","n","e","x","f","f","k","n","c","u","n","v","o","p","k","w","w","e","e","s","s","w","p"
"f","n","e","x","f","f","k","n","c","u","n","v","o","p","n","w","w","e","e","s","s","w","p"
"f","n","e","x","f","f","k","n","c","u","n","y","o","p","k","w","w","e","e","s","s","w","p"
"f","n","e","x","f","f","k","n","c","u","n","y","o","p","n","w","w","e","e","s","s","w","p"
"f","n","e","x","f","f","n","b","w","g","n","a","o","e","k","w","w","e","t","s","f","w","p"
"f","n","e","x","f","f","n","b","w","g","n","a","o","e","n","w","w","e","t","s","f","w","p"
"f","n","e","x","f","f","n","n","c","u","n","y","o","p","n","w","w","e","e","s","s","w","p"
"f","n","e","x","f","f","p","b","w","g","n","a","o","e","k","w","w","e","t","f","f","w","p"
"f","n","e","x","f","f","p","b","w","g","n","s","o","e","k","w","w","e","t","f","s","w","p"
"f","n","e","x","f","f","p","n","c","u","n","v","o","p","n","w","w","e","e","s","s","w","p"
"f","n","e","x","f","f","p","n","c","u","n","y","o","p","n","w","w","e","e","s","s","w","p"
"f","n","e","x","s","f","k","b","w","g","n","s","o","e","k","w","w","e","t","s","s","w","p"
"f","n","e","x","s","f","k","b","w","g","n","s","o","e","n","w","w","e","t","f","s","w","p"
"f","n","e","x","s","f","n","b","w","g","n","a","o","e","k","w","w","e","t","s","s","w","p"
"f","n","e","x","s","f","n","b","w","g","n","a","o","e","n","w","w","e","t","s","s","w","p"
"f","n","e","x","s","f","n","b","w","g","n","s","o","e","k","w","w","e","t","f","f","w","p"
"f","n","e","x","s","f","p","b","w","g","n","a","o","e","n","w","w","e","t","f","s","w","p"
"f","n","e","x","s","f","p","b","w","g","n","s","o","e","k","w","w","e","t","f","s","w","p"
"f","w","e","f","f","f","h","b","w","g","n","a","o","e","n","w","w","e","t","f","s","w","p"
"f","w","e","f","f","f","k","b","w","g","n","a","o","e","n","w","w","e","t","f","f","w","p"
"f","w","e","f","f","f","k","b","w","g","n","a","o","e","n","w","w","e","t","s","f","w","p"
"f","w","e","f","f","f","k","b","w","g","n","a","o","e","n","w","w","e","t","s","s","w","p"
"f","w","e","f","s","f","p","b","w","g","n","a","o","e","k","w","w","e","t","s","f","w","p"
"f","w","e","x","f","f","h","b","w","g","n","a","o","e","n","w","w","e","t","f","s","w","p"
"f","w","e","x","f","f","h","b","w","g","n","s","o","e","k","w","w","e","t","f","s","w","p"
"f","w","e","x","f","f","k","b","w","g","n","a","o","e","k","w","w","e","t","f","s","w","p"
"f","w","e","x","f","f","k","b","w","g","n","s","o","e","k","w","w","e","t","f","s","w","p"
"f","w","e","x","f","f","n","b","w","g","n","s","o","e","k","w","w","e","t","f","s","w","p"
"f","w","e","x","f","f","n","b","w","g","n","s","o","e","n","w","w","e","t","s","s","w","p"
"f","w","e","x","f","f","p","b","w","g","n","s","o","e","k","w","w","e","t","s","f","w","p"
"f","w","e","x","s","f","k","b","w","g","n","s","o","e","n","w","w","e","t","f","s","w","p"
"f","w","e","x","s","f","n","b","w","g","n","s","o","e","k","w","w","e","t","s","f","w","p"
"f","w","e","x","s","f","p","b","w","g","n","a","o","e","k","w","w","e","t","f","f","w","p"
"t","n","e","f","y","f","n","b","c","g","a","s","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","n","b","c","g","a","y","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","n","b","c","g","a","y","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","n","b","c","g","l","s","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","n","b","c","g","l","y","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","n","b","c","g","l","y","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","n","b","c","p","a","s","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","n","b","c","p","a","y","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","n","b","c","p","l","s","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","n","b","c","p","l","y","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","p","b","c","g","a","s","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","p","b","c","g","a","y","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","p","b","c","g","a","y","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","p","b","c","g","l","s","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","p","b","c","p","a","s","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","p","b","c","p","a","s","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","p","b","c","p","a","y","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","p","b","c","p","l","y","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","w","b","c","g","a","s","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","w","b","c","g","a","y","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","w","b","c","g","l","s","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","w","b","c","g","l","s","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","w","b","c","g","l","y","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","w","b","c","p","a","s","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","w","b","c","p","a","y","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","w","b","c","p","a","y","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","w","b","c","p","l","s","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","f","y","f","w","b","c","p","l","y","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","x","f","f","n","b","c","d","n","y","o","p","n","g","p","b","t","s","s","w","p"
"t","n","e","x","f","f","n","b","c","d","n","y","o","p","n","g","w","b","t","s","s","w","p"
"t","n","e","x","f","f","p","b","c","d","n","y","o","p","k","p","w","b","t","s","s","w","p"
"t","n","e","x","f","f","p","b","c","d","n","y","o","p","n","g","p","b","t","s","s","w","p"
"t","n","e","x","y","f","n","b","c","g","l","y","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","x","y","f","n","b","c","p","a","s","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","x","y","f","n","b","c","p","a","y","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","x","y","f","n","b","c","p","l","s","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","x","y","f","n","b","c","p","l","s","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","x","y","f","n","b","c","p","l","y","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","x","y","f","n","b","c","p","l","y","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","x","y","f","p","b","c","g","l","s","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","x","y","f","p","b","c","p","a","s","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","x","y","f","p","b","c","p","a","y","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","x","y","f","p","b","c","p","a","y","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","x","y","f","p","b","c","p","l","s","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","x","y","f","p","b","c","p","l","y","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","x","y","f","w","b","c","g","a","s","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","x","y","f","w","b","c","g","a","y","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","x","y","f","w","b","c","g","a","y","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","x","y","f","w","b","c","g","l","s","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","x","y","f","w","b","c","g","l","y","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","x","y","f","w","b","c","g","l","y","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","x","y","f","w","b","c","p","a","s","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","x","y","f","w","b","c","p","a","y","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","x","y","f","w","b","c","p","a","y","o","p","n","w","w","r","e","s","y","w","p"
"t","n","e","x","y","f","w","b","c","p","l","y","o","p","k","w","w","r","e","s","y","w","p"
"t","n","e","x","y","f","w","b","c","p","l","y","o","p","n","w","w","r","e","s","y","w","p"
"t","n","p","f","s","f","k","n","c","g","p","s","o","p","k","w","w","e","e","s","s","w","p"
"t","n","p","f","s","f","p","n","c","g","p","s","o","p","n","w","w","e","e","s","s","w","p"
"t","n","p","f","s","f","w","n","c","u","p","v","o","p","k","w","w","e","e","s","s","w","p"
"t","n","p","f","y","f","p","n","c","g","p","v","o","p","k","w","w","e","e","s","s","w","p"
"t","n","p","f","y","f","w","n","c","u","p","s","o","p","k","w","w","e","e","s","s","w","p"
"t","n","p","x","s","f","k","n","c","u","p","s","o","p","k","w","w","e","e","s","s","w","p"
"t","n","p","x","s","f","k","n","c","u","p","s","o","p","n","w","w","e","e","s","s","w","p"
"t","n","p","x","s","f","k","n","c","u","p","v","o","p","n","w","w","e","e","s","s","w","p"
"t","n","p","x","s","f","n","n","c","g","p","s","o","p","k","w","w","e","e","s","s","w","p"
"t","n","p","x","s","f","n","n","c","g","p","s","o","p","n","w","w","e","e","s","s","w","p"
"t","n","p","x","s","f","n","n","c","g","p","v","o","p","n","w","w","e","e","s","s","w","p"
"t","n","p","x","s","f","n","n","c","u","p","s","o","p","k","w","w","e","e","s","s","w","p"
"t","n","p","x","s","f","n","n","c","u","p","s","o","p","n","w","w","e","e","s","s","w","p"
"t","n","p","x","s","f","p","n","c","g","p","s","o","p","n","w","w","e","e","s","s","w","p"
"t","n","p","x","s","f","p","n","c","g","p","v","o","p","n","w","w","e","e","s","s","w","p"
"t","n","p","x","s","f","p","n","c","u","p","s","o","p","n","w","w","e","e","s","s","w","p"
"t","n","p","x","s","f","p","n","c","u","p","v","o","p","k","w","w","e","e","s","s","w","p"
"t","n","p","x","s","f","w","n","c","g","p","s","o","p","n","w","w","e","e","s","s","w","p"
"t","n","p","x","s","f","w","n","c","u","p","s","o","p","k","w","w","e","e","s","s","w","p"
"t","n","p","x","s","f","w","n","c","u","p","s","o","p","n","w","w","e","e","s","s","w","p"
"t","n","p","x","y","f","k","n","c","g","p","v","o","p","k","w","w","e","e","s","s","w","p"
"t","n","p","x","y","f","k","n","c","u","p","s","o","p","k","w","w","e","e","s","s","w","p"
"t","n","p","x","y","f","k","n","c","u","p","v","o","p","k","w","w","e","e","s","s","w","p"
"t","n","p","x","y","f","k","n","c","u","p","v","o","p","n","w","w","e","e","s","s","w","p"
"t","n","p","x","y","f","n","n","c","g","p","v","o","p","n","w","w","e","e","s","s","w","p"
"t","n","p","x","y","f","n","n","c","u","p","v","o","p","n","w","w","e","e","s","s","w","p"
"t","n","p","x","y","f","p","n","c","u","p","s","o","p","k","w","w","e","e","s","s","w","p"
"t","n","p","x","y","f","p","n","c","u","p","s","o","p","n","w","w","e","e","s","s","w","p"
"t","n","p","x","y","f","p","n","c","u","p","v","o","p","k","w","w","e","e","s","s","w","p"
"t","n","p","x","y","f","p","n","c","u","p","v","o","p","n","w","w","e","e","s","s","w","p"
"t","n","p","x","y","f","w","n","c","u","p","s","o","p","n","w","w","e","e","s","s","w","p"
"t","n","p","x","y","f","w","n","c","u","p","v","o","p","k","w","w","e","e","s","s","w","p"
"t","n","p","x","y","f","w","n","c","u","p","v","o","p","n","w","w","e","e","s","s","w","p"
"t","w","e","b","s","f","g","b","c","g","a","n","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","g","b","c","g","a","s","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","g","b","c","g","a","s","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","g","b","c","g","l","n","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","g","b","c","g","l","s","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","g","b","c","m","a","n","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","g","b","c","m","l","n","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","g","b","c","m","l","s","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","g","b","c","m","l","s","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","k","b","c","g","a","n","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","k","b","c","g","a","s","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","k","b","c","g","l","n","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","k","b","c","g","l","s","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","k","b","c","m","a","n","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","k","b","c","m","a","s","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","k","b","c","m","a","s","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","k","b","c","m","l","n","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","n","b","c","g","a","n","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","n","b","c","g","a","n","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","n","b","c","g","l","n","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","n","b","c","g","l","s","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","n","b","c","g","l","s","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","n","b","c","m","l","n","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","n","b","c","m","l","n","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","n","b","c","m","l","s","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","n","b","c","m","l","s","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","w","b","c","g","a","n","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","w","b","c","g","a","s","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","w","b","c","g","a","s","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","w","b","c","g","l","n","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","w","b","c","g","l","s","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","w","b","c","g","l","s","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","w","b","c","m","a","n","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","w","b","c","m","a","s","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","w","b","c","m","a","s","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","w","b","c","m","l","n","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","w","b","c","m","l","s","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","s","f","w","b","c","m","l","s","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","g","b","c","g","a","n","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","g","b","c","g","a","s","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","g","b","c","g","l","n","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","g","b","c","g","l","n","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","g","b","c","g","l","s","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","g","b","c","m","a","n","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","g","b","c","m","a","n","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","g","b","c","m","a","s","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","g","b","c","m","l","s","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","g","b","c","m","l","s","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","k","b","c","g","a","s","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","k","b","c","g","l","n","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","k","b","c","g","l","s","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","k","b","c","m","a","n","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","k","b","c","m","a","s","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","k","b","c","m","l","n","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","k","b","c","m","l","s","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","n","b","c","g","a","n","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","n","b","c","g","a","n","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","n","b","c","g","a","s","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","n","b","c","g","l","n","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","n","b","c","g","l","s","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","n","b","c","g","l","s","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","n","b","c","m","a","n","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","n","b","c","m","a","s","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","n","b","c","m","l","n","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","n","b","c","m","l","s","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","n","b","c","m","l","s","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","w","b","c","g","a","n","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","w","b","c","g","a","n","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","w","b","c","g","a","s","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","w","b","c","g","l","n","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","w","b","c","g","l","n","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","w","b","c","m","a","n","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","w","b","c","m","a","n","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","w","b","c","m","a","s","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","w","b","c","m","l","n","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","w","b","c","m","l","s","o","p","k","w","w","c","e","s","s","w","p"
"t","w","e","b","y","f","w","b","c","m","l","s","o","p","n","w","w","c","e","s","s","w","p"
"t","w","e","f","f","f","n","n","w","d","a","v","o","p","u","w","w","b","t","s","s","w","p"
"t","w","e","f","f","f","p","n","w","d","a","v","o","p","n","w","w","b","t","s","s","w","p"
